"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"19","....The only reason they do not want to build a Wall is that Walls Work! 99% of our illegal Border crossings will e… https://t.co/lsbP5iE3OO",FALSE,150515,NA,2019-01-06 12:33:39,TRUE,NA,"1081891545245278208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",33592,FALSE,FALSE,NA,NA
"20","“We simply cannot allow people to pour into the United States undetected, undocumented, unchecked...” Barrack Obama… https://t.co/yZRRpupNX2",FALSE,132530,NA,2019-01-06 12:01:42,TRUE,NA,"1081883505049636864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",35432,FALSE,FALSE,NA,NA
"21","https://t.co/iSFAokoIP7",FALSE,246734,NA,2019-01-06 02:15:10,FALSE,NA,"1081735898679701505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",75357,FALSE,FALSE,NA,NA
"22","Will be going to Camp David tomorrow morning for meetings on Border Security and many other topics with @WhiteHouse senior staff.",FALSE,96232,NA,2019-01-06 02:06:29,FALSE,NA,"1081733714437201922",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18051,FALSE,FALSE,NA,NA
"23","AP-NORC POLL: “Immigration among the top concerns in 2019.” People want to stop drugs and criminals at the Border.… https://t.co/si6bMulzfe",FALSE,97293,NA,2019-01-06 01:47:56,TRUE,NA,"1081729046277509121",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23582,FALSE,FALSE,NA,NA
"24","“The number of employed Americans has now set a 14th record under President Trump. Over the year, average hourly ea… https://t.co/T1VFWK1Bge",FALSE,76595,NA,2019-01-06 01:35:32,TRUE,NA,"1081725924457041921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17297,FALSE,FALSE,NA,NA
"25","“Jobs up big, plus 312,000. Record number working. Manufacturing best in 20 years (Previous administration said thi… https://t.co/glizVLcZC2",FALSE,82687,NA,2019-01-06 01:00:30,TRUE,NA,"1081717108176752640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18312,FALSE,FALSE,NA,NA
"26","V.P. Mike Pence and team just left the White House. Briefed me on their meeting with the Schumer/Pelosi representat… https://t.co/EFnReotJeI",FALSE,116017,NA,2019-01-05 21:05:59,TRUE,NA,"1081658090792148993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24066,FALSE,FALSE,NA,NA
"27","Drug makers and companies are not living up to their commitments on pricing. Not being fair to the consumer, or to our Country!",FALSE,135176,NA,2019-01-05 20:49:27,FALSE,NA,"1081653927337213952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",26792,FALSE,FALSE,NA,NA
"28","“Former @NYTimes editor Jill Abramson rips paper's ‘unmistakably anti-Trump’ bias.”

Ms. Abramson is 100% correct.… https://t.co/8PZiXgcpOD",FALSE,88554,NA,2019-01-05 17:27:18,TRUE,NA,"1081603056846991361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22443,FALSE,FALSE,NA,NA
"29","Great Tweet today by Tyler Q. Houlton @SpoxDHS on the #FakeNews being put out by @CNN, a proud member of the Opposi… https://t.co/r7ST8KT1Rj",FALSE,53047,NA,2019-01-05 16:13:07,TRUE,NA,"1081584385512607745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11943,FALSE,FALSE,NA,NA
"30","The Democrats want Billions of Dollars for Foreign Aid, but they don’t want to spend a small fraction of that numbe… https://t.co/ZSb2KjNkgl",FALSE,130501,NA,2019-01-05 15:54:42,TRUE,NA,"1081579754191552514",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",35003,FALSE,FALSE,NA,NA
"31","We are working hard at the Border, but we need a WALL!  In 2018, 1.7 million pounds of narcotics seized, 17,000 adu… https://t.co/xosJ3RS8gQ",FALSE,112629,NA,2019-01-05 15:16:14,TRUE,NA,"1081570073867927557",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",29856,FALSE,FALSE,NA,NA
"32","I don’t care that most of the workers not getting paid are Democrats, I want to stop the Shutdown as soon as we are… https://t.co/4zSgavwhD6",FALSE,126699,NA,2019-01-05 14:48:55,TRUE,NA,"1081563196249513985",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",26045,FALSE,FALSE,NA,NA
"33","Many people currently a part of my opposition, including President Obama &amp; the Dems, have had campaign violations,… https://t.co/DMPDaBKIYB",FALSE,90131,NA,2019-01-05 13:55:41,TRUE,NA,"1081549802595340288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20022,FALSE,FALSE,NA,NA
"34","The Democrats could solve the Shutdown problem in a very short period of time. All they have to do is approve REAL… https://t.co/Wk7EpL7r4V",FALSE,115196,NA,2019-01-05 12:57:17,TRUE,NA,"1081535102461579264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",26703,FALSE,FALSE,NA,NA
"35","Great support coming from all sides for Border Security (including Wall) on our very dangerous Southern Border. Tea… https://t.co/dLTuhf1AM7",FALSE,85818,NA,2019-01-05 12:31:03,TRUE,NA,"1081528502602612736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18822,FALSE,FALSE,NA,NA
